country,confederation,population_share,tv_audience_share,magnitude,position,wins,runners-up,region,subregion,mostPopularSportByCountry_bleacherRep2008
Cambodia,AFC,0.2,0.5,2.5,DNQ,0,0,Asia,South-Eastern Asia,Football (soccer)
Cote d'Ivoire,CAF,0.3,0.4,1.333333333,Group Stage,0,0,Africa,"Western Africa, Sub-Saharan Africa",Football (soccer)
Latvia,UEFA,0,0.1,2.964966589,DNQ,0,0,Europe,Northern Europe,Ice Hockey
Lebanon,AFC,0.1,0.1,1,DNQ,0,0,Asia,"Western Asia, The Middle East",Football (soccer)
Jordan,AFC,0.1,0.1,1,DNQ,0,0,Asia,"Western Asia, The Middle East",Football (soccer)
Honduras,CONCACAF,0.1,0.3,3,Group Stage,0,0,North America,"Central America, Latin America",Football (soccer)
Brunei Darussalam,AFC,0,0,0.928407733,DNQ,0,0,Asia,South-Eastern Asia,Football (soccer)
Albania,UEFA,0,0.1,2.964966589,DNQ,0,0,Europe,Southern Europe,Football (soccer)
Turkmenistan,AFC,0.1,0.1,1,DNQ,0,0,Asia,"Central Asia, South Central Asia",Football (soccer)
Angola,CAF,0.3,0.1,0.333333333,DNQ,0,0,Africa,"Middle Africa, Sub-Saharan Africa",Football (soccer)
Estonia,UEFA,0,0,0.928407733,DNQ,0,0,Europe,Northern Europe,Ice Hockey
Bahrain,AFC,0,0,0.928407733,DNQ,0,0,Asia,"Western Asia, The Middle East",Football (soccer)
Nepal,AFC,0.4,0.4,1,DNQ,0,0,Asia,"Southern Asia, South Central Asia",Football (soccer)
Cyprus,UEFA,0,0,0.928407733,DNQ,0,0,Europe,"Eastern Europe, The Middle East",Football (soccer)
Ghana,CAF,0.4,0.2,0.5,Quarter-finals,0,0,Africa,"Western Africa, Sub-Saharan Africa",Football (soccer)
Mauritius,CAF,0,0,0.928407733,DNQ,0,0,Africa,"Eastern Africa, Sub-Saharan Africa",Football (soccer)
North Macedonia,UEFA,0,0.1,2.964966589,DNQ,0,0,Europe,Southern Europe,Football (soccer)
Kenya,CAF,0.6,0.3,0.5,DNQ,0,0,Africa,"Eastern Africa, Sub-Saharan Africa",Football (soccer)
Trinidad and Tobago,CONCACAF,0,0,0.928407733,DNQ,0,0,North America,Caribbean,Cricket
Philippines,AFC,1.4,0.1,0.071428571,DNQ,0,0,Asia,South-Eastern Asia,Basketball
Bolivia,CONMEBOL,0.1,0.1,1,DNQ,0,0,South America,"South America, Latin America",Football (soccer)
Laos,AFC,0.1,0.2,2,DNQ,0,0,Asia,South-Eastern Asia,Football (soccer)
Armenia,UEFA,0,0.1,2.964966589,DNQ,0,0,Asia,Western Asia,Football (soccer)
Nicaragua,CONCACAF,0.1,0.1,1,DNQ,0,0,North America,"Central America, Latin America",Baseball
Afghanistan,AFC,0.4,0.3,0.75,DNQ,0,0,Asia,"South Central Asia, Southern Asia",Football (soccer)
Cameroon,CAF,0.3,0.2,0.666666667,Group Stage,0,0,Africa,"Middle Africa, Sub-Saharan Africa",Football (soccer)
Senegal,CAF,0.2,0.2,1,DNQ,0,0,Africa,"Western Africa, Sub-Saharan Africa",Football (soccer)
Jamaica,CONCACAF,0,0.1,2.964966589,DNQ,0,0,North America,Caribbean,Football (soccer)
Sri Lanka,AFC,0.3,0.1,0.333333333,DNQ,0,0,Asia,"Southern Asia, South Central Asia",Cricket
Myanmar,AFC,0.8,0.1,0.125,DNQ,0,0,Asia,South-Eastern Asia,Football (soccer)
Moldova,UEFA,0.1,0.1,1,DNQ,0,0,Europe,Eastern Europe,Football (soccer)
Malta,UEFA,0,0,0.928407733,DNQ,0,0,Europe,Southern Europe,Football (soccer)
Bangladesh,AFC,2.2,0.1,0.045454545,DNQ,0,0,Asia,"Southern Asia, South Central Asia",Cricket
Zambia,CAF,0.2,0.1,0.5,DNQ,0,0,Africa,"Eastern Africa, Sub-Saharan Africa",Football (soccer)
Morocco,CAF,0.5,0.1,0.2,DNQ,0,0,Africa,Northern Africa,Football (soccer)
North Korea,AFC,0.4,0.2,0.5,Group Stage,0,0,Asia,Eastern Asia,Football (soccer)
Botswana,CAF,0,0,0.928407733,DNQ,0,0,Africa,"Southern Africa, Sub-Saharan Africa",Football (soccer)
Tajikistan,AFC,0.1,0.1,1,DNQ,0,0,Asia,"Central Asia, South Central Asia",Football (soccer)
Iceland,UEFA,0,0,0.928407733,DNQ,0,0,Europe,Northern Europe,Football (soccer)
Uganda,CAF,0.5,0.2,0.4,DNQ,0,0,Africa,"Eastern Africa, Sub-Saharan Africa",Football (soccer)
Libya,CAF,0.1,0,0,DNQ,0,0,Africa,Northern Africa,Football (soccer)
Palestine,AFC,0.1,0.1,1,DNQ,0,0,Asia,"Western Asia, The Middle East",Football (soccer)
Kyrgyz Republic,AFC,0.1,0.1,1,DNQ,0,0,Asia,"Central Asia, South Central Asia",Football (soccer)
Mongolia,AFC,0,0,0.928407733,DNQ,0,0,Asia,Eastern Asia,Mongolian Wrestling
Montenegro,UEFA,0,0,0.928407733,DNQ,0,0,Europe,Southern Europe,Football (soccer)
Tanzania,CAF,0.7,0.1,0.142857143,DNQ,0,0,Africa,"Eastern Africa, Sub-Saharan Africa",Football (soccer)
Georgia,UEFA,0.1,0,0,DNQ,0,0,Asia,Western Asia,Football (soccer)
Suriname,CONCACAF,0,0,0.928407733,DNQ,0,0,South America,"South America, Latin America",Football (soccer)
Sudan,CAF,0.5,0.1,0.2,DNQ,0,0,Africa,Northern Africa,Football (soccer)
Gabon,CAF,0,0,0.928407733,DNQ,0,0,Africa,"Middle Africa, Sub-Saharan Africa",Football (soccer)
Madagascar,CAF,0.3,0.1,0.333333333,DNQ,0,0,Africa,"Eastern Africa, Sub-Saharan Africa",Football (soccer)
Tunisia,AFC,0.2,0,0,DNQ,0,0,Africa,Northern Africa,Football (soccer)
Ethiopia,CAF,1.3,0.2,0.153846154,DNQ,0,0,Africa,"Eastern Africa, Sub-Saharan Africa",Football (soccer)
Zimbabwe,CAF,0.2,0.1,0.5,DNQ,0,0,Africa,"Eastern Africa, Sub-Saharan Africa",Football (soccer)
Namibia,CAF,0,0,0.928407733,DNQ,0,0,Africa,"Southern Africa, Sub-Saharan Africa",Football (soccer)
Bahamas,CONCACAF,0,0,0.928407733,DNQ,0,0,North America,Caribbean,Basketball
Papua New Guinea,OFC,0.1,0.1,1,DNQ,0,0,Oceania,Melanesia,Football (soccer)
Guyana,CONCACAF,0,0,0.928407733,DNQ,0,0,South America,"South America, Latin America",Cricket
DR Congo,CAF,0.9,0.2,0.222222222,DNQ,0,0,Africa,"Middle Africa, Sub-Saharan Africa",Football (soccer)
Burkina Faso,CAF,0.2,0.1,0.5,DNQ,0,0,Africa,"Western Africa, Sub-Saharan Africa",Football (soccer)
Guinea,CAF,0.2,0.1,0.5,DNQ,0,0,Africa,"Western Africa, Sub-Saharan Africa",Football (soccer)
Haiti,CONCACAF,0.1,0.1,1,DNQ,0,0,North America,Caribbean,Football (soccer)
Fiji,OFC,0,0,0.928407733,DNQ,0,0,Oceania,Melanesia,Rugby
Barbados,CONCACAF,0,0,0.928407733,DNQ,0,0,North America,Caribbean,Football (soccer)
Mali,CAF,0.2,0,0,DNQ,0,0,Africa,"Western Africa, Sub-Saharan Africa",Football (soccer)
Equatorial Guinea,CAF,0,0,0.928407733,DNQ,0,0,Africa,"Middle Africa, Sub-Saharan Africa",Football (soccer)
Mozambique,CAF,0.3,0.1,0.333333333,DNQ,0,0,Africa,"Eastern Africa, Sub-Saharan Africa",Football (soccer)
Seychelles,CAF,0,0,0.928407733,DNQ,0,0,Africa,"Eastern Africa, Sub-Saharan Africa",Football (soccer)
Cabo Verde,CAF,0,0,0.928407733,DNQ,0,0,Africa,"Western Africa, Sub-Saharan Africa",Football (soccer)
Eswatini,CAF,0,0,0.928407733,DNQ,0,0,Africa,"Southern Africa, Sub-Saharan Africa",Football (soccer)
Maldives,AFC,0,0,0.928407733,DNQ,0,0,Asia,"Southern Asia, South Central Asia",Football (soccer)
Niger,CAF,0.2,0.1,0.5,DNQ,0,0,Africa,"Western Africa, Sub-Saharan Africa",Football (soccer)
St. Lucia,CONCACAF,0,0,0.928407733,DNQ,0,0,North America,Caribbean,Football (soccer)
Togo,CAF,0.1,0,0,DNQ,0,0,Africa,"Western Africa, Sub-Saharan Africa",Football (soccer)
Burundi,CAF,0.1,0.1,1,DNQ,0,0,Africa,"Eastern Africa, Sub-Saharan Africa",Football (soccer)
Congo Republic,CAF,0.1,0,0,DNQ,0,0,Africa,"Middle Africa, Sub-Saharan Africa",Football (soccer)
Antigua and Barbuda,CONCACAF,0,0,0.928407733,DNQ,0,0,North America,Caribbean,Cricket
Chad,CAF,0.2,0,0,DNQ,0,0,Africa,"Middle Africa, Sub-Saharan Africa",Football (soccer)
Eritrea,CAF,0.1,0,0,DNQ,0,0,Africa,"Eastern Africa, Sub-Saharan Africa",Football (soccer)
Grenada,CONCACAF,0,0,0.928407733,DNQ,0,0,North America,Caribbean,Football (soccer)
Lesotho,CAF,0,0,0.928407733,DNQ,0,0,Africa,"Southern Africa, Sub-Saharan Africa",Football (soccer)
St. Vincent and the Grenadines,CONCACAF,0,0,0.928407733,DNQ,0,0,North America,Caribbean,Football (soccer)
Malawi,CAF,0.2,0,0,DNQ,0,0,Africa,"Eastern Africa, Sub-Saharan Africa",Football (soccer)
Sierra Leone,CAF,0.1,0,0,DNQ,0,0,Africa,"Western Africa, Sub-Saharan Africa",Football (soccer)
Mauritania,CAF,0.1,0,0,DNQ,0,0,Africa,"Western Africa, Sub-Saharan Africa",Football (soccer)
Solomon Islands,OFC,0,0,0.928407733,DNQ,0,0,Oceania,Melanesia,Football (soccer)
St. Kitts and Nevis,CONCACAF,0,0,0.928407733,DNQ,0,0,North America,Caribbean,Football (soccer)
Rwanda,CAF,0.2,0,0,DNQ,0,0,Africa,"Eastern Africa, Sub-Saharan Africa",Football (soccer)
Somalia,CAF,0.1,0,0,DNQ,0,0,Africa,"Eastern Africa, Sub-Saharan Africa",Football (soccer)
Gambia,CAF,0,0,0.928407733,DNQ,0,0,Africa,"Western Africa, Sub-Saharan Africa",Football (soccer)
Samoa,OFC,0,0,0.928407733,DNQ,0,0,Oceania,Polynesia,
Central African Republic,CAF,0.1,0,0,DNQ,0,0,Africa,"Middle Africa, Sub-Saharan Africa",Football (soccer)
Vanuatu,OFC,0,0,0.928407733,DNQ,0,0,Oceania,Melanesia,Football (soccer)
American Samoa,OFC,0,0,0.928407733,DNQ,0,0,Oceania,Polynesia,Football (soccer)
Tonga,OFC,0,0,0.928407733,DNQ,0,0,Oceania,Polynesia,Rugby
Liberia,CAF,0.1,0,0,DNQ,0,0,Africa,"Western Africa, Sub-Saharan Africa",Football (soccer)
Palau,OFC,0,0,0.928407733,DNQ,0,0,Oceania,Micronesia,Football (soccer)
Nauru,OFC,0,0,0.928407733,DNQ,0,0,Oceania,Micronesia,Australian Football
